Order,Frequency,Vpc,Vs,Is,Ib1,Ib2,Vline
        1,0,5.6002e-007,2.46412e-008,3.26408e-007,2.95692e-007,3.01587e-008,5.35379e-007
        2,133.422,4.24103e-005,6.76418e-005,2.53995e-005,7.49035e-006,1.88399e-005,2.53223e-005
        3,266.845,0.000271725,0.000449292,0.00018171,5.41432e-005,0.000137845,0.000181257
        4,400.267,96.6392,162.632,68.0166,20.3472,52.0209,67.9179
        5,533.689,0.000542737,0.000888541,0.00035504,0.000103577,0.000267368,0.000353317
        6,667.111,0.000201286,0.000288528,9.04457e-005,2.28513e-005,6.7915e-005,8.72453e-005
        7,800.534,0.000162397,0.000160762,4.0297e-005,2.84154e-005,6.86926e-005,3.32683e-005
        8,933.956,0.000255746,0.000110137,0.000165332,0.000101391,0.000226143,0.000164321
        9,1067.38,0.000961176,8.37776e-005,0.000884868,0.000516919,0.00113139,0.000894121
       10,1200.8,29.2658,6.60835e-005,28.8889,16.8693,36.7067,29.2658
       11,1334.22,0.00120921,5.71076e-005,0.00115095,0.000655958,0.00144172,0.00116336
       12,1467.65,0.000345963,4.94571e-005,0.000303177,0.000144177,0.000338997,0.000303659
       13,1601.07,0.000185816,4.36802e-005,0.000147291,4.79036e-005,9.94289e-005,0.00014341
       14,1734.49,0.000190795,3.92128e-005,0.000153783,0.000189246,0.00026123,0.000155893
       15,1867.91,0.000673619,3.56041e-005,0.000617106,0.000986677,0.00147291,0.0006535
       16,2001.33,7.3565,3.29855e-005,6.90764,11.2534,17.0157,7.35648
       17,2134.76,0.000787369,3.01487e-005,0.000726137,0.00117908,0.00177171,0.00077155
       18,2268.18,0.000188069,2.80318e-005,0.000160427,0.000259797,0.000384368,0.000169477
       19,2401.6,6.63414e-005,2.62421e-005,3.378e-005,5.58713e-005,7.67506e-005,4.01113e-005
       20,2535.02,0.000144666,2.46141e-005,0.000127096,0.000167127,0.000268626,0.000143092
       21,2668.45,0.000796587,2.32129e-005,0.0007286,0.000976443,0.00155339,0.000799969
       22,2801.87,4.7117,2.38341e-005,4.30598,5.71467,9.13032,4.71171
       23,2935.29,0.000916825,2.08561e-005,0.000839956,0.00115491,0.00181209,0.000920452
       24,3068.71,0.00014134,1.98545e-005,0.000132373,0.000247399,0.000333963,0.000147452
       25,3202.13,9.82508e-005,1.89897e-005,8.56381e-005,5.26006e-005,6.85046e-005,0.00010613
       26,3335.56,0.000428237,1.81237e-005,0.000373697,0.000148935,0.000521709,0.000432045
       27,3468.98,0.00200964,1.73702e-005,0.00175202,0.00086904,0.00259788,0.00201293
       28,3602.4,6.88491,1.74e-005,5.99475,3.08937,8.99228,6.88491
       29,3735.82,0.00233229,1.60421e-005,0.0020351,0.00101033,0.00301614,0.00233534
       30,3869.25,0.000521019,1.54529e-005,0.000460014,0.000181599,0.0006357,0.000524387
       31,4002.67,0.000135541,1.48916e-005,0.000131589,4.1849e-005,9.87305e-005,0.000141982
       32,4136.09,0.00017983,1.43989e-005,0.000149267,0.000297244,0.000419222,0.000184451
       33,4269.51,0.00123839,1.39247e-005,0.00102132,0.00146786,0.00241401,0.00124014
       34,4402.94,3.00515,1.19799e-005,2.48222,3.41765,5.73691,3.00515
       35,4536.36,0.00147256,1.30673e-005,0.00121649,0.00169991,0.00283333,0.00147409
