Time,I(L1),ILfilt,VA
0.0100001,0.00132641,-41.3081,0.0235989
0.0100001,0.00279998,-41.249,0.0353984
0.0100002,0.00486285,-41.19,0.0471978
0.0100002,0.00751502,-41.1309,0.0589973
0.0100003,0.0107565,-41.0718,0.0707967
0.0100003,0.0145872,-41.0127,0.0825962
0.0100004,0.0190073,-40.9537,0.0943956
0.0100004,0.0240166,-40.8946,0.106195
0.0100005,0.0296152,-40.8355,0.117995
0.0100005,0.0358031,-40.7764,0.129794
0.0100006,0.0425803,-40.7173,0.141593
0.0100006,0.0499468,-40.6582,0.153393
0.0100007,0.0579026,-40.599,0.165192
0.0100007,0.0664477,-40.5399,0.176992
0.0100008,0.0755821,-40.4808,0.188791
0.0100008,0.0853057,-40.4217,0.200591
0.0100009,0.0956187,-40.3625,0.21239
0.0100009,0.106521,-40.3034,0.224189
0.010001,0.118012,-40.2442,0.235989
0.010001,0.130093,-40.1851,0.247788
0.0100011,0.142763,-40.1259,0.259588
0.0100011,0.156023,-40.0668,0.271387
0.0100012,0.169871,-40.0076,0.283187
0.0100012,0.184309,-39.9484,0.294986
0.0100013,0.199337,-39.8893,0.306785
0.0100013,0.214953,-39.8301,0.318585
0.0100014,0.231159,-39.7709,0.330384
0.0100014,0.247954,-39.7117,0.342184
0.0100015,0.265338,-39.6526,0.353983
0.0100015,0.283312,-39.5934,0.365782
0.0100016,0.301875,-39.5342,0.377582
0.0100016,0.321027,-39.475,0.389381
0.0100017,0.340768,-39.4158,0.40118
0.0100017,0.361099,-39.3566,0.41298
0.0100018,0.382019,-39.2974,0.424779
0.0100018,0.403528,-39.2382,0.436578
0.0100019,0.425627,-39.1789,0.448378
0.0100019,0.448315,-39.1197,0.460177
0.010002,0.471592,-39.0605,0.471976
0.010002,0.495458,-39.0013,0.483776
0.0100021,0.519914,-38.942,0.495575
0.0100021,0.544959,-38.8828,0.507374
0.0100022,0.570593,-38.8236,0.519174
0.0100022,0.596817,-38.7643,0.530973
0.0100023,0.623629,-38.7051,0.542772
0.0100023,0.651032,-38.6459,0.554571
0.0100024,0.679023,-38.5866,0.566371
0.0100024,0.707603,-38.5274,0.57817
0.0100025,0.736773,-38.4681,0.589969
0.0100025,0.766532,-38.4089,0.601768
0.0100026,0.796881,-38.3496,0.613567
0.0100026,0.827818,-38.2903,0.625367
0.0100027,0.859345,-38.2311,0.637166
0.0100027,0.891461,-38.1718,0.648965
0.0100028,0.924167,-38.1125,0.660764
0.0100028,0.957461,-38.0533,0.672563
0.0100029,0.991345,-37.994,0.684363
