Time,Is,Ib1,Ib2,Vs,Vpc,Vline
0.040005,4.09006e-007,2.03837e-007,2.04281e-007,2.04367,2.04367,2.45024e-006
0.04001,8.17568e-007,4.08118e-007,4.08562e-007,4.08702,4.08702,2.86379e-006
0.040015,1.22657e-006,6.11955e-007,6.12399e-007,6.12973,6.12972,3.26652e-006
0.04002,1.63469e-006,8.1668e-007,8.17124e-007,8.17146,8.17146,3.67872e-006
0.040025,2.04192e-006,1.02052e-006,1.02141e-006,10.2119,10.2119,4.08043e-006
0.04003,2.45048e-006,1.22391e-006,1.2248e-006,12.2507,12.2507,4.49156e-006
0.040035,2.85905e-006,1.4273e-006,1.42819e-006,14.2876,14.2876,4.89178e-006
0.04004,3.26494e-006,1.63158e-006,1.63247e-006,16.3223,16.3223,5.30143e-006
0.040045,3.67173e-006,1.83409e-006,1.83498e-006,18.3543,18.3543,5.70026e-006
0.04005,4.07763e-006,2.03748e-006,2.03748e-006,20.3835,20.3835,6.10799e-006
0.040055,4.48352e-006,2.2391e-006,2.23999e-006,22.4095,22.4095,6.50484e-006
0.04006,4.88676e-006,2.44249e-006,2.44338e-006,24.4319,24.4319,6.91089e-006
0.040065,5.28999e-006,2.64411e-006,2.645e-006,26.4504,26.4504,7.30521e-006
0.04007,5.69411e-006,2.84572e-006,2.84661e-006,28.4648,28.4648,7.7093e-006
0.040075,6.09557e-006,3.04734e-006,3.04734e-006,30.4747,30.4747,8.10125e-006
0.04008,6.49614e-006,3.24718e-006,3.24718e-006,32.4797,32.4797,8.5028e-006
0.040085,6.89582e-006,3.44791e-006,3.44791e-006,34.4797,34.4797,8.89215e-006
0.04009,7.2955e-006,3.64686e-006,3.64686e-006,36.4742,36.4742,9.2909e-006
0.040095,7.69518e-006,3.84404e-006,3.84404e-006,38.4629,38.4629,9.67727e-006
0.0401,8.08953e-006,4.04476e-006,4.04476e-006,40.4456,40.4456,1.00733e-005
0.040105,8.48566e-006,4.24194e-006,4.24194e-006,42.4218,42.4218,1.04562e-005
0.04011,8.88001e-006,4.43734e-006,4.43734e-006,44.3914,44.3914,1.08494e-005
0.040115,9.27258e-006,4.63451e-006,4.63451e-006,46.354,46.354,1.12286e-005
0.04012,9.66516e-006,4.82991e-006,4.82991e-006,48.3092,48.3092,1.16185e-005
0.040125,1.00524e-005,5.02531e-006,5.02531e-006,50.2568,50.2568,1.19941e-005
0.04013,1.04396e-005,5.21894e-006,5.21894e-006,52.1965,52.1965,1.23801e-005
0.040135,1.08269e-005,5.41256e-006,5.41256e-006,54.128,54.1279,1.2752e-005
0.04014,1.12124e-005,5.60263e-006,5.60263e-006,56.0509,56.0508,1.31339e-005
0.040145,1.15961e-005,5.7927e-006,5.7927e-006,57.9649,57.9649,1.35019e-005
0.04015,1.19762e-005,5.98455e-006,5.98455e-006,59.8698,59.8698,1.38794e-005
0.040155,1.23528e-005,6.17639e-006,6.17639e-006,61.7652,61.7652,1.42431e-005
0.04016,1.27329e-005,6.36291e-006,6.36469e-006,63.6509,63.6509,1.46165e-005
0.040165,1.31095e-005,6.5512e-006,6.5512e-006,65.5265,65.5265,1.49752e-005
0.04017,1.34825e-005,6.73595e-006,6.73595e-006,67.3918,67.3918,1.53439e-005
0.040175,1.3852e-005,6.92424e-006,6.92424e-006,69.2464,69.2464,1.56983e-005
0.04018,1.4218e-005,7.10898e-006,7.10898e-006,71.0901,71.0901,1.60617e-005
0.040185,1.45874e-005,7.29017e-006,7.29017e-006,72.9226,72.9226,1.64112e-005
0.04019,1.49498e-005,7.47491e-006,7.47491e-006,74.7436,74.7436,1.67696e-005
0.040195,1.53122e-005,7.6561e-006,7.6561e-006,76.5527,76.5527,1.71137e-005
0.0402,1.5671e-005,7.83373e-006,7.83373e-006,78.3498,78.3498,1.74668e-005
0.040205,1.60298e-005,8.01137e-006,8.01137e-006,80.1345,80.1345,1.78053e-005
0.04021,1.63851e-005,8.18901e-006,8.18545e-006,81.9065,81.9065,1.81529e-005
0.040215,1.67333e-005,8.36664e-006,8.36664e-006,83.6656,83.6656,1.84858e-005
0.04022,1.70814e-005,8.54072e-006,8.54072e-006,85.4115,85.4115,1.88276e-005
0.040225,1.74367e-005,8.71125e-006,8.71125e-006,87.144,87.1439,1.91545e-005
0.04023,1.77742e-005,8.88534e-006,8.88534e-006,88.8626,88.8626,1.94906e-005
0.040235,1.81153e-005,9.05587e-006,9.05587e-006,90.5672,90.5672,1.9811e-005
0.04024,1.84528e-005,9.2264e-006,9.2264e-006,92.2575,92.2575,2.01412e-005
0.040245,1.87903e-005,9.38982e-006,9.38982e-006,93.9333,93.9333,2.04553e-005
0.04025,1.91243e-005,9.5568e-006,9.5568e-006,95.5942,95.5942,2.07787e-005
0.040255,1.94547e-005,9.72378e-006,9.72022e-006,97.24,97.24,2.10867e-005
0.04026,1.9778e-005,9.88365e-006,9.88365e-006,98.8705,98.8705,2.14034e-005
0.040265,0.199454,0.199444,9.89431e-006,100.485,98.9409,1.54416
0.04027,0.650694,0.650684,9.88898e-006,102.084,98.8941,3.19021
0.040275,1.26038,1.26037,9.88454e-006,103.667,98.8495,4.81772
0.04028,2.05331,2.0533,9.88098e-006,105.234,98.8083,6.42532
0.040285,2.99246,2.99245,9.87743e-006,106.784,98.7716,8.01196
0.04029,4.04735,4.04734,9.87388e-006,108.317,98.7398,9.57672
0.040295,5.19289,5.19288,9.87121e-006,109.832,98.7136,11.1189
0.0403,6.40842,6.40841,9.86944e-006,111.331,98.6933,12.6378
0.040305,7.67694,7.67693,9.86855e-006,112.812,98.6792,14.1328
0.04031,8.98445,8.98444,9.86766e-006,114.275,98.6715,15.6037
0.040315,10.3194,10.3194,9.86677e-006,115.72,98.6705,17.0498
0.04032,11.6723,11.6723,9.86766e-006,117.147,98.6761,18.471
0.040325,13.0353,13.0353,9.86855e-006,118.555,98.6886,19.8669
0.04033,14.402,14.402,9.87033e-006,119.945,98.7079,21.2373
0.040335,15.767,15.767,9.87388e-006,121.316,98.734,22.5819
0.04034,17.126,17.126,9.87743e-006,122.667,98.7668,23.9005
0.040345,18.4752,18.4752,9.88054e-006,124,98.8065,25.193
0.04035,19.8117,19.8117,9.88543e-006,125.312,98.8528,26.4593
0.040355,21.1331,21.1331,9.89075e-006,126.605,98.9058,27.6991
0.04036,22.4372,22.4372,9.89608e-006,127.878,98.9653,28.9124
0.040365,23.7224,23.7224,9.90319e-006,129.13,99.0312,30.0991
0.04037,24.9873,24.9872,9.91029e-006,130.362,99.1035,31.259
0.040375,26.2306,26.2306,9.91784e-006,131.574,99.182,32.3922
0.04038,27.4514,27.4514,9.92717e-006,132.765,99.2666,33.4984
0.040385,28.649,28.649,9.93605e-006,133.935,99.3572,34.5777
0.04039,29.8226,29.8226,9.94493e-006,135.084,99.4537,35.6299
0.040395,30.9717,30.9717,9.95648e-006,136.211,99.556,36.655
0.0404,32.0957,32.0957,9.96625e-006,137.317,99.6639,37.653
0.040405,33.1944,33.1944,9.97868e-006,138.401,99.7772,38.6239
0.04041,34.2674,34.2674,9.98934e-006,139.463,99.896,39.5675
0.040415,35.3143,35.3143,1.00018e-005,140.504,100.02,40.4838
0.04042,36.3351,36.335,1.00151e-005,141.522,100.149,41.3728
0.040425,37.3294,37.3293,1.00284e-005,142.518,100.283,42.2346
0.04043,38.2971,38.2971,1.00417e-005,143.491,100.422,43.0689
0.040435,39.238,39.238,1.00568e-005,144.442,100.566,43.876
0.04044,40.1522,40.1522,1.00711e-005,145.37,100.714,44.6556
0.040445,41.0394,41.0394,1.00862e-005,146.274,100.866,45.4079
0.04045,41.8995,41.8995,1.01021e-005,147.156,101.023,46.1328
0.040455,42.7326,42.7326,1.0119e-005,148.015,101.184,46.8302
0.04046,43.5386,43.5386,1.01359e-005,148.85,101.35,47.5003
